epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.52,1.64009,3.11421,1.74013,0.4382,0.22814,0.24034,0.10603,1.8603,3.49651,1.84999,0.000298792,0.000298792,0.000298792
2,1599.58,1.59902,2.28844,1.64254,0.39038,0.28563,0.2671,0.11908,1.91791,3.22209,2.04456,0.000595834,0.000595834,0.000595834
3,2380.04,1.60603,2.1628,1.64299,0.43839,0.30855,0.32207,0.14455,1.89513,2.75562,1.99992,0.000886877,0.000886877,0.000886877
4,3156.59,1.59273,2.03599,1.64757,0.38971,0.31449,0.29143,0.1341,1.90985,2.73943,2.03686,0.000882003,0.000882003,0.000882003
5,3932.97,1.57145,1.95596,1.64433,0.38576,0.32091,0.27884,0.12642,1.91761,2.66189,2.01088,0.000873004,0.000873004,0.000873004
6,4710.55,1.53517,1.83029,1.59414,0.53136,0.37553,0.36765,0.16782,1.81813,2.38919,1.86636,0.000864004,0.000864004,0.000864004
7,5634.2,1.54564,1.74526,1.58448,0.52094,0.37444,0.38024,0.17657,1.83014,2.28239,1.91256,0.000855005,0.000855005,0.000855005
8,6678.4,1.52891,1.71443,1.58393,0.48158,0.36974,0.36697,0.16641,1.90904,2.3598,1.9592,0.000846006,0.000846006,0.000846006
9,7719.04,1.50419,1.68004,1.56614,0.55788,0.37304,0.38448,0.18959,1.8346,2.30201,1.91114,0.000837007,0.000837007,0.000837007
10,8764.81,1.49363,1.64862,1.56237,0.48792,0.35812,0.35941,0.16753,1.86436,2.24702,1.97882,0.000828008,0.000828008,0.000828008
11,9806.43,1.48263,1.6127,1.55021,0.53094,0.30514,0.32888,0.1564,1.91157,2.49421,1.96986,0.000819009,0.000819009,0.000819009
12,10853.5,1.46792,1.54331,1.53798,0.54039,0.39229,0.4113,0.19948,1.80662,2.08571,1.85596,0.00081001,0.00081001,0.00081001
13,11906.8,1.45516,1.52972,1.53409,0.54622,0.39349,0.39443,0.19663,1.76107,2.19045,1.83308,0.000801011,0.000801011,0.000801011
14,12949,1.44578,1.48303,1.51441,0.53185,0.34753,0.36311,0.16975,1.8753,2.20929,1.92491,0.000792012,0.000792012,0.000792012
15,13989.3,1.44441,1.512,1.52788,0.55205,0.37448,0.38185,0.17857,1.90259,2.13409,1.97082,0.000783013,0.000783013,0.000783013
16,15032.7,1.44592,1.45115,1.51508,0.56006,0.33885,0.36899,0.18189,1.83084,2.22775,1.90345,0.000774013,0.000774013,0.000774013
17,16084.1,1.42147,1.45546,1.5046,0.59142,0.3661,0.39882,0.18833,1.83745,2.17762,1.89984,0.000765014,0.000765014,0.000765014
18,17130.7,1.43591,1.45227,1.50575,0.51292,0.40559,0.40546,0.19623,1.79064,2.03537,1.81343,0.000756015,0.000756015,0.000756015
19,18185.5,1.41682,1.41006,1.48747,0.55803,0.37947,0.39531,0.19639,1.79678,2.08786,1.88459,0.000747016,0.000747016,0.000747016
20,19236.3,1.39897,1.40162,1.48499,0.54484,0.36159,0.38322,0.18112,1.83639,2.15477,1.9201,0.000738017,0.000738017,0.000738017
21,20282.3,1.39312,1.3853,1.49067,0.55894,0.3811,0.37958,0.18257,1.8401,2.18649,1.89615,0.000729018,0.000729018,0.000729018
22,21326.3,1.39172,1.34992,1.4812,0.544,0.40933,0.40681,0.20113,1.83953,2.04728,1.90425,0.000720019,0.000720019,0.000720019
23,22367,1.37508,1.35297,1.4677,0.58427,0.38248,0.41955,0.20331,1.81493,2.04692,1.853,0.00071102,0.00071102,0.00071102
24,23414.7,1.36267,1.31217,1.44726,0.58022,0.40953,0.43007,0.20946,1.8066,1.98536,1.86326,0.000702021,0.000702021,0.000702021
25,24327.6,1.3585,1.31154,1.44532,0.5235,0.40497,0.40681,0.19695,1.81749,2.08708,1.90258,0.000693022,0.000693022,0.000693022
26,25230.9,1.34507,1.28424,1.43913,0.57963,0.38469,0.40554,0.19727,1.84414,2.12096,1.90346,0.000684022,0.000684022,0.000684022
27,26130.2,1.3312,1.28433,1.43362,0.57961,0.38831,0.42782,0.20955,1.82985,2.00757,1.88548,0.000675023,0.000675023,0.000675023
28,27003.6,1.34641,1.26998,1.45221,0.62095,0.37888,0.42148,0.20502,1.82985,2.10498,1.87502,0.000666024,0.000666024,0.000666024
29,27784.9,1.3227,1.21679,1.43284,0.56879,0.36411,0.38944,0.18742,1.88407,2.23024,1.93965,0.000657025,0.000657025,0.000657025
30,28562.7,1.33993,1.21282,1.41503,0.59621,0.38903,0.42177,0.2082,1.81353,2.04761,1.86344,0.000648026,0.000648026,0.000648026
31,29339.7,1.30718,1.20533,1.41103,0.56587,0.35801,0.39801,0.19939,1.86711,2.14855,1.94813,0.000639027,0.000639027,0.000639027
32,30118.9,1.30475,1.20812,1.41174,0.57989,0.38476,0.41004,0.19852,1.85601,2.14005,1.9178,0.000630028,0.000630028,0.000630028
33,30896.5,1.33375,1.22466,1.43311,0.56231,0.40064,0.4129,0.20756,1.82586,2.06654,1.87689,0.000621029,0.000621029,0.000621029
34,31661.9,1.30525,1.20331,1.40326,0.58978,0.3832,0.40921,0.20359,1.79209,2.04556,1.86725,0.00061203,0.00061203,0.00061203
35,32552.7,1.27932,1.18122,1.39752,0.60019,0.40796,0.42771,0.21056,1.85788,2.08534,1.90592,0.000603031,0.000603031,0.000603031
36,33535.5,1.26603,1.15376,1.38942,0.60138,0.37304,0.41464,0.20166,1.83535,2.00605,1.90474,0.000594031,0.000594031,0.000594031
37,34303.7,1.26489,1.14671,1.38566,0.59049,0.39301,0.42604,0.20915,1.8406,2.09066,1.89976,0.000585032,0.000585032,0.000585032
38,35083,1.25096,1.12608,1.37457,0.5876,0.41361,0.4357,0.21652,1.86567,2.01808,1.92625,0.000576033,0.000576033,0.000576033
39,35860.2,1.28486,1.12344,1.39259,0.57591,0.42054,0.42046,0.2053,1.84235,2.02141,1.90406,0.000567034,0.000567034,0.000567034
40,36642.7,1.2609,1.0974,1.36868,0.58473,0.41114,0.43752,0.22242,1.79225,1.95145,1.84437,0.000558035,0.000558035,0.000558035
41,37422.4,1.2313,1.07176,1.36082,0.58763,0.40009,0.41143,0.20332,1.91168,2.15299,1.97194,0.000549036,0.000549036,0.000549036
42,38205.1,1.23137,1.06733,1.34429,0.58033,0.38945,0.412,0.19919,1.8559,2.10204,1.9077,0.000540037,0.000540037,0.000540037
43,38975.8,1.23506,1.07049,1.36213,0.65824,0.36025,0.40941,0.19918,1.86144,2.08747,1.9242,0.000531038,0.000531038,0.000531038
44,39740.7,1.20926,1.02963,1.33586,0.6226,0.38793,0.42232,0.20918,1.86762,2.0959,1.94102,0.000522039,0.000522039,0.000522039
45,40523.3,1.231,1.04194,1.34605,0.56675,0.39233,0.41214,0.20148,1.84298,1.96408,1.88043,0.00051304,0.00051304,0.00051304
46,41284,1.22044,1.03059,1.34568,0.56139,0.40777,0.42081,0.20259,1.86634,2.08134,1.9319,0.00050404,0.00050404,0.00050404
47,42270.3,1.20296,1.00821,1.33129,0.59574,0.39178,0.41709,0.19999,1.88383,2.08445,1.95415,0.000495041,0.000495041,0.000495041
48,43025.3,1.19633,0.98168,1.32436,0.59701,0.40898,0.43984,0.21476,1.83582,1.95514,1.87813,0.000486042,0.000486042,0.000486042
49,43781.7,1.19175,1.00522,1.32058,0.6437,0.38337,0.41492,0.20245,1.90309,2.07716,1.95193,0.000477043,0.000477043,0.000477043
50,44539.7,1.20788,1.00044,1.3305,0.55738,0.39678,0.41154,0.19988,1.86699,2.03966,1.92998,0.000468044,0.000468044,0.000468044
51,45294.1,1.15345,0.96079,1.2981,0.59326,0.4153,0.43891,0.21513,1.85511,1.98063,1.92726,0.000459045,0.000459045,0.000459045
52,46048.6,1.16439,0.96102,1.31125,0.58797,0.40277,0.41082,0.20034,1.87399,2.084,1.95285,0.000450046,0.000450046,0.000450046
53,46802.6,1.17844,0.96952,1.3124,0.58601,0.40317,0.42369,0.21192,1.84739,1.96462,1.92974,0.000441047,0.000441047,0.000441047
54,47557.2,1.18222,0.96185,1.31299,0.56134,0.40957,0.42231,0.20922,1.86917,2.04758,1.94553,0.000432048,0.000432048,0.000432048
55,48650.8,1.15739,0.93047,1.29107,0.55231,0.37392,0.37791,0.18945,1.88783,2.26638,1.98711,0.000423049,0.000423049,0.000423049
56,49969.3,1.13541,0.9263,1.28585,0.59282,0.40696,0.42026,0.20734,1.88795,2.08205,1.97761,0.000414049,0.000414049,0.000414049
57,51290.9,1.12461,0.9157,1.29071,0.59335,0.39759,0.41778,0.20315,1.86059,2.0849,1.93189,0.00040505,0.00040505,0.00040505
58,52608.6,1.13661,0.91781,1.28223,0.55637,0.43225,0.42061,0.20952,1.84865,2.01735,1.92718,0.000396051,0.000396051,0.000396051
59,53857.9,1.13863,0.90969,1.27,0.57598,0.41237,0.42557,0.21236,1.87562,2.04233,1.96009,0.000387052,0.000387052,0.000387052
60,55567.9,1.12913,0.9275,1.29025,0.61165,0.39853,0.42283,0.20525,1.88017,2.10134,1.94784,0.000378053,0.000378053,0.000378053
